complaint_id,department,district,service_type,complaint_category,complaint_date,resolution_date,resolution_time_days,status,satisfaction_score,priority
C000905,Inland Revenue Department,Hambantota,Marriage Certificate,System Downtime,2024-01-14,2024-05-02,109,Resolved,3,Low
C000906,Divisional Secretariat,Gampaha,Police Report,Long Queue,2024-10-01,2024-10-07,6,Resolved,4,Medium
C000907,Municipal Council,Monaragala,Tax Filing,Delayed Processing,2025-08-08,2025-12-28,142,Resolved,3,Medium
C000908,Department of Health Services,Hambantota,Visa Processing,Delayed Processing,2024-05-20,2024-08-28,100,Resolved,1,High
C000909,Municipal Council,Kilinochhi,Medical Certificate,Missing Documents,2024-05-19,2024-06-30,42,Resolved,5,Medium
C000910,Department of Health Services,Kilinochhi,Police Report,Missing Documents,2024-06-27,2024-10-31,126,Resolved,3,High
C000911,Registrar General Department,Mannar,Pension Claims,Poor Facility Condition,2024-01-01,2024-06-28,179,Resolved,3,Medium
C000912,Department of Motor Traffic,Polonnaruwa,Medical Certificate,Rude Staff Behavior,2025-04-03,2025-07-29,117,Resolved,4,Medium
C000913,Municipal Council,Jaffna,Tax Filing,Poor Facility Condition,2025-07-08,,74,Pending,2,Low
C000914,Divisional Secretariat,Badulla,Pension Claims,System Downtime,2024-02-29,2024-08-14,167,Resolved,4,Low
C000915,Department of Census and Statistics,Jaffna,Passport Application,Delayed Processing,2024-02-04,2024-07-29,176,Resolved,4,Low
C000916,Divisional Secretariat,Matara,License Renewal,Long Queue,2024-03-25,2024-06-30,97,Resolved,5,High
C000917,Department of Education,Galle,Visa Processing,Rude Staff Behavior,2025-07-14,2025-09-11,59,Resolved,5,Low
C000918,Department of Census and Statistics,Nuwara Eliya,School Admission,Delayed Processing,2025-06-14,2025-08-20,67,Resolved,2,Low
C000919,Department of Education,Kandy,Passport Application,Bribery Demand,2025-03-12,2025-07-07,117,Resolved,5,Low
C000920,Department of Health Services,Galle,School Admission,Bribery Demand,2024-06-19,2024-10-24,127,Resolved,3,High
C000921,Department of Health Services,Matale,License Renewal,Incorrect Information,2024-07-06,2024-08-24,49,Resolved,3,High
C000922,Municipal Council,Polonnaruwa,Land Registration,Delayed Processing,2024-05-19,2024-07-22,64,Resolved,3,Low
C000923,Inland Revenue Department,Monaragala,Pension Claims,Missing Documents,2024-02-04,2024-07-31,178,Resolved,3,Medium
C000924,Department of Motor Traffic,Kilinochhi,Passport Application,Overcharging,2024-06-09,,468,Pending,2,High
C000925,Department of Motor Traffic,Colombo,Visa Processing,Protocol Violation,2025-06-02,2025-11-03,154,Resolved,4,Medium
C000926,Provincial Council Secretariat,Gampaha,School Admission,Rude Staff Behavior,2024-07-26,2025-01-14,172,Resolved,3,Low
C000927,Department of Immigration,Kalutara,Tax Filing,Protocol Violation,2025-02-17,2025-05-15,87,Resolved,5,Low
C000928,Department of Immigration,Ampara,Visa Processing,System Downtime,2024-06-13,,464,Pending,1,High
C000929,Department of Pensions,Trincomalee,Tax Filing,Missing Documents,2024-07-06,2024-09-12,68,Resolved,4,High
C000930,Department of Immigration,Kurunegala,Medical Certificate,Overcharging,2024-08-09,2024-12-13,126,Resolved,4,Low
C000931,Department of Education,Hambantota,Marriage Certificate,Overcharging,2024-02-20,,578,Pending,1,Low
C000932,Pradeshiya Sabha,Kurunegala,Land Registration,Overcharging,2025-02-08,,224,Pending,1,Low
C000933,Department of Pensions,Nuwara Eliya,Marriage Certificate,Protocol Violation,2024-02-19,,579,Pending,1,Medium
C000934,Department of Motor Traffic,Trincomalee,School Admission,Rude Staff Behavior,2025-04-19,2025-09-16,150,Resolved,2,Low
C000935,Department of Census and Statistics,Colombo,Visa Processing,Delayed Processing,2023-12-08,2024-04-14,128,Resolved,4,Low
C000936,Department of Immigration,Colombo,Birth Certificate,Overcharging,2025-05-17,2025-06-14,28,Resolved,5,Medium
C000937,Divisional Secretariat,Badulla,License Renewal,System Downtime,2025-07-27,2026-01-04,161,Resolved,5,High
C000938,Pradeshiya Sabha,Ratnapura,School Admission,Rude Staff Behavior,2025-07-23,2025-11-16,116,Resolved,3,Low
C000939,Department of Motor Traffic,Ratnapura,Birth Certificate,Protocol Violation,2023-11-09,2024-01-21,73,Resolved,3,High
C000940,Inland Revenue Department,Kegalle,Pension Claims,Delayed Processing,2024-10-15,,340,Pending,1,Low
C000941,Municipal Council,Matale,Birth Certificate,Incorrect Information,2024-04-21,2024-08-03,104,Resolved,3,Low
C000942,Divisional Secretariat,Matale,Tax Filing,Delayed Processing,2024-12-06,2025-02-24,80,Resolved,5,Medium
C000943,Department of Education,Hambantota,School Admission,Poor Facility Condition,2025-02-26,2025-06-21,115,Resolved,5,Low
C000944,Municipal Council,Mullaitivu,Birth Certificate,Long Queue,2024-11-26,2025-05-03,158,Resolved,2,Medium
C000945,Department of Immigration,Ampara,Business Registration,Protocol Violation,2025-01-07,2025-06-22,166,Resolved,4,Low
C000946,Department of Immigration,Badulla,Visa Processing,Bribery Demand,2025-01-12,2025-05-15,123,Resolved,3,Medium
C000947,Department of Motor Traffic,Trincomalee,Birth Certificate,Protocol Violation,2024-07-19,2024-12-08,142,Resolved,1,Low
C000948,Department of Census and Statistics,Hambantota,School Admission,Delayed Processing,2023-12-26,2024-05-20,146,Resolved,5,Medium
C000949,Department of Immigration,Nuwara Eliya,Pension Claims,Long Queue,2023-10-07,,714,Pending,2,Low
C000950,Municipal Council,Batticaloa,School Admission,Incorrect Information,2025-09-11,2026-02-09,151,Resolved,4,Low
C000951,Divisional Secretariat,Hambantota,Medical Certificate,Delayed Processing,2024-03-30,2024-04-20,21,Resolved,4,Low
C000952,Department of Immigration,Polonnaruwa,Land Registration,Overcharging,2023-10-09,,712,Pending,1,Medium
C000953,Department of Pensions,Anuradhapura,School Admission,System Downtime,2025-07-25,2025-12-27,155,Resolved,4,Medium
C000954,Department of Immigration,Colombo,Passport Application,Delayed Processing,2025-08-27,2025-11-13,78,Resolved,1,Medium
C000955,Municipal Council,Matale,Medical Certificate,Bribery Demand,2025-09-02,2025-09-09,7,Resolved,2,Low
C000956,Department of Pensions,Kegalle,Land Registration,Rude Staff Behavior,2025-06-23,2025-11-08,138,Resolved,2,Low
C000957,Pradeshiya Sabha,Monaragala,Land Registration,Overcharging,2023-10-13,,708,Pending,4,Low
C000958,Department of Health Services,Gampaha,Tax Filing,Long Queue,2024-12-24,2025-02-14,52,Resolved,3,Low
C000959,Pradeshiya Sabha,Puttalam,School Admission,Protocol Violation,2025-09-20,2026-01-05,107,Resolved,5,High
C000960,Pradeshiya Sabha,Anuradhapura,Medical Certificate,Overcharging,2023-10-28,2024-03-01,125,Resolved,4,Low
C000961,Provincial Council Secretariat,Kalutara,Visa Processing,Missing Documents,2023-11-22,2024-03-10,109,Resolved,4,High
C000962,Pradeshiya Sabha,Mullaitivu,License Renewal,Rude Staff Behavior,2024-01-18,2024-07-02,166,Resolved,3,Low
C000963,Inland Revenue Department,Puttalam,Medical Certificate,System Downtime,2024-04-04,2024-07-26,113,Resolved,2,High
C000964,Department of Health Services,Mullaitivu,Medical Certificate,System Downtime,2025-07-24,2025-10-08,76,Resolved,4,Medium
C000965,Registrar General Department,Badulla,Land Registration,Rude Staff Behavior,2024-03-04,2024-05-16,73,Resolved,4,Low
C000966,Department of Education,Jaffna,Passport Application,Bribery Demand,2024-02-28,2024-03-25,26,Resolved,4,Medium
C000967,Department of Immigration,Nuwara Eliya,Business Registration,Long Queue,2023-10-09,2023-12-15,67,Resolved,3,Medium
C000968,Provincial Council Secretariat,Matara,Land Registration,Incorrect Information,2024-08-31,2025-02-06,159,Resolved,2,High
C000969,Department of Immigration,Monaragala,Business Registration,Poor Facility Condition,2024-09-18,2025-02-08,143,Resolved,3,Medium
C000970,Department of Education,Kegalle,Birth Certificate,Delayed Processing,2025-09-13,,7,Pending,4,Medium
C000971,Department of Motor Traffic,Trincomalee,Birth Certificate,Rude Staff Behavior,2025-06-06,2025-07-03,27,Resolved,5,Medium
C000972,Pradeshiya Sabha,Batticaloa,Business Registration,Overcharging,2024-04-18,2024-05-29,41,Resolved,4,Medium
C000973,Department of Immigration,Kandy,Passport Application,Overcharging,2023-12-31,2024-04-03,94,Resolved,3,High
C000974,Provincial Council Secretariat,Nuwara Eliya,Birth Certificate,Incorrect Information,2023-09-27,2024-01-27,122,Resolved,3,Low
C000975,Provincial Council Secretariat,Mullaitivu,Passport Application,Rude Staff Behavior,2024-11-18,2025-05-08,171,Resolved,2,Medium
C000976,Provincial Council Secretariat,Badulla,Tax Filing,Long Queue,2024-11-17,2025-03-15,118,Resolved,5,Low
C000977,Registrar General Department,Kilinochhi,Tax Filing,Missing Documents,2023-10-01,2024-02-11,133,Resolved,5,High
C000978,Municipal Council,Polonnaruwa,Marriage Certificate,Poor Facility Condition,2024-03-07,2024-06-16,101,Resolved,4,Low
C000979,Department of Pensions,Mullaitivu,Pension Claims,Protocol Violation,2025-06-28,2025-12-15,170,Resolved,5,High
C000980,Provincial Council Secretariat,Anuradhapura,Marriage Certificate,Missing Documents,2024-08-07,2024-08-10,3,Resolved,5,Low
C000981,Municipal Council,Batticaloa,Police Report,System Downtime,2024-04-18,2024-09-25,160,Resolved,4,High
C000982,Registrar General Department,Gampaha,Business Registration,System Downtime,2025-07-16,2025-09-05,51,Resolved,5,Low
C000983,Registrar General Department,Trincomalee,Business Registration,Incorrect Information,2024-01-28,2024-06-15,139,Resolved,3,Medium
C000984,Provincial Council Secretariat,Puttalam,Visa Processing,Bribery Demand,2025-07-02,2025-07-10,8,Resolved,5,Medium
C000985,Department of Motor Traffic,Mannar,Visa Processing,Protocol Violation,2024-07-28,2024-12-05,130,Resolved,2,Low
C000986,Divisional Secretariat,Ratnapura,License Renewal,Overcharging,2023-11-08,2023-12-10,32,Resolved,3,Low
C000987,Municipal Council,Badulla,Business Registration,Poor Facility Condition,2024-05-19,2024-10-15,149,Resolved,4,Low
C000988,Pradeshiya Sabha,Vavuniya,Business Registration,Bribery Demand,2024-07-23,2024-12-17,147,Resolved,4,Low
C000989,Department of Immigration,Monaragala,Pension Claims,Missing Documents,2025-03-02,2025-06-03,93,Resolved,3,Low
C000990,Department of Education,Kalutara,Tax Filing,Protocol Violation,2023-11-23,2023-12-27,34,Resolved,3,Low
C000991,Divisional Secretariat,Ampara,Medical Certificate,Missing Documents,2025-04-15,2025-07-26,102,Resolved,5,High
C000992,Department of Health Services,Nuwara Eliya,Marriage Certificate,Protocol Violation,2025-08-26,2025-12-30,126,Resolved,4,Low
C000993,Registrar General Department,Monaragala,Passport Application,Overcharging,2025-09-18,2026-01-28,132,Resolved,5,Low
C000994,Registrar General Department,Anuradhapura,Pension Claims,Delayed Processing,2024-02-28,2024-06-02,95,Resolved,5,Low
C000995,Department of Census and Statistics,Jaffna,Tax Filing,Incorrect Information,2025-04-28,2025-09-09,134,Resolved,2,Low
C000996,Department of Health Services,Gampaha,Visa Processing,Incorrect Information,2023-10-19,2023-11-25,37,Resolved,4,Low
C000997,Registrar General Department,Gampaha,Pension Claims,Overcharging,2025-02-02,,230,Pending,2,Medium
C000998,Department of Education,Ratnapura,School Admission,Rude Staff Behavior,2025-04-22,2025-07-18,87,Resolved,4,Medium
C000999,Department of Immigration,Ratnapura,Tax Filing,Delayed Processing,2025-02-18,2025-06-14,116,Resolved,4,Medium
C001000,Department of Health Services,Kilinochhi,Business Registration,Long Queue,2025-08-01,2025-11-09,100,Resolved,2,High
C001001,Department of Immigration,Monaragala,License Renewal,Poor Facility Condition,2024-12-17,2025-06-01,166,Resolved,1,Medium
C001002,Provincial Council Secretariat,Kalutara,Passport Application,Poor Facility Condition,2025-09-14,2026-02-27,166,Resolved,2,Medium
C001003,Department of Education,Trincomalee,License Renewal,Delayed Processing,2023-11-14,2024-03-27,134,Resolved,2,Medium
C001004,Inland Revenue Department,Matara,Police Report,Poor Facility Condition,2025-03-18,2025-03-23,5,Resolved,3,Low
C001005,Department of Education,Colombo,Tax Filing,Missing Documents,2025-03-20,2025-07-01,103,Resolved,4,Low
C001006,Registrar General Department,Kandy,Birth Certificate,Protocol Violation,2023-10-15,2024-01-05,82,Resolved,3,Low
C001007,Department of Health Services,Badulla,Marriage Certificate,Long Queue,2024-02-15,2024-03-09,23,Resolved,2,Medium
C001008,Registrar General Department,Kilinochhi,Marriage Certificate,Missing Documents,2024-08-19,2024-09-03,15,Resolved,3,High
C001009,Inland Revenue Department,Kegalle,School Admission,Poor Facility Condition,2024-06-11,2024-07-12,31,Resolved,1,Low
C001010,Department of Pensions,Gampaha,Tax Filing,Overcharging,2025-02-22,2025-06-01,99,Resolved,5,Medium
C001011,Department of Motor Traffic,Hambantota,Business Registration,Poor Facility Condition,2023-11-27,2024-03-11,105,Resolved,4,Medium
C001012,Department of Pensions,Puttalam,Pension Claims,Overcharging,2024-05-30,2024-11-13,167,Resolved,4,Low
C001013,Department of Immigration,Matara,Business Registration,Missing Documents,2025-07-03,2025-08-09,37,Resolved,3,High
C001014,Divisional Secretariat,Jaffna,Medical Certificate,Rude Staff Behavior,2025-04-11,2025-04-12,1,Resolved,5,Low
C001015,Department of Health Services,Mannar,Medical Certificate,Bribery Demand,2025-01-26,2025-04-01,65,Resolved,5,Medium
C001016,Divisional Secretariat,Kalutara,Visa Processing,Delayed Processing,2025-02-24,2025-04-07,42,Resolved,4,Low
C001017,Department of Health Services,Galle,School Admission,Protocol Violation,2024-01-24,2024-06-15,143,Resolved,5,High
C001018,Pradeshiya Sabha,Batticaloa,Visa Processing,Bribery Demand,2024-08-11,2024-11-07,88,Resolved,4,Medium
C001019,Department of Census and Statistics,Colombo,Police Report,Rude Staff Behavior,2024-08-15,2024-12-11,118,Resolved,5,Medium
C001020,Municipal Council,Nuwara Eliya,Pension Claims,Protocol Violation,2023-09-23,2023-09-25,2,Resolved,5,High
C001021,Municipal Council,Polonnaruwa,Birth Certificate,Protocol Violation,2025-09-10,2025-12-20,101,Resolved,4,Low
C001022,Department of Health Services,Anuradhapura,Tax Filing,Missing Documents,2025-08-08,2025-09-09,32,Resolved,3,Low
C001023,Inland Revenue Department,Batticaloa,License Renewal,Bribery Demand,2025-09-03,2025-10-05,32,Resolved,3,Medium
C001024,Divisional Secretariat,Polonnaruwa,Visa Processing,Bribery Demand,2024-07-04,2024-10-04,92,Resolved,2,Low
C001025,Pradeshiya Sabha,Monaragala,School Admission,Bribery Demand,2025-02-07,2025-02-17,10,Resolved,3,Low
C001026,Department of Education,Nuwara Eliya,Business Registration,Bribery Demand,2025-07-05,2025-09-15,72,Resolved,4,Medium
C001027,Registrar General Department,Puttalam,Marriage Certificate,Delayed Processing,2025-04-22,2025-09-24,155,Resolved,4,Low
C001028,Department of Pensions,Galle,Medical Certificate,Long Queue,2025-04-26,2025-09-07,134,Resolved,4,High
C001029,Provincial Council Secretariat,Batticaloa,License Renewal,Missing Documents,2025-08-30,2026-02-04,158,Resolved,3,Medium
C001030,Department of Health Services,Mullaitivu,Visa Processing,Delayed Processing,2025-07-17,,65,Pending,4,Medium
C001031,Pradeshiya Sabha,Matara,License Renewal,Incorrect Information,2025-01-10,2025-05-23,133,Resolved,4,High
C001032,Department of Census and Statistics,Kalutara,School Admission,Long Queue,2025-03-19,2025-03-21,2,Resolved,3,High
C001033,Inland Revenue Department,Galle,Marriage Certificate,System Downtime,2024-05-09,2024-08-26,109,Resolved,5,Low
C001034,Department of Motor Traffic,Puttalam,Medical Certificate,System Downtime,2025-06-23,2025-07-01,8,Resolved,3,Medium
C001035,Department of Census and Statistics,Gampaha,Tax Filing,Protocol Violation,2024-05-31,,477,Pending,1,Medium
C001036,Registrar General Department,Polonnaruwa,Land Registration,Poor Facility Condition,2023-12-04,2024-05-11,159,Resolved,3,Low
C001037,Pradeshiya Sabha,Kalutara,Marriage Certificate,Long Queue,2023-11-22,2024-02-27,97,Resolved,3,High
C001038,Department of Health Services,Kalutara,Birth Certificate,Long Queue,2024-12-16,,278,Pending,2,Medium
C001039,Department of Health Services,Matara,School Admission,Poor Facility Condition,2024-07-18,2024-10-29,103,Resolved,1,Low
C001040,Divisional Secretariat,Kandy,Tax Filing,Long Queue,2024-10-18,2025-02-05,110,Resolved,5,Low
C001041,Divisional Secretariat,Monaragala,Birth Certificate,Poor Facility Condition,2024-08-22,2024-09-19,28,Resolved,2,Medium
C001042,Department of Pensions,Mannar,Pension Claims,Overcharging,2024-04-06,2024-05-09,33,Resolved,4,Medium
C001043,Department of Motor Traffic,Matale,Visa Processing,Poor Facility Condition,2024-12-19,2025-01-24,36,Resolved,4,Low
C001044,Provincial Council Secretariat,Kegalle,Marriage Certificate,Rude Staff Behavior,2025-07-19,2025-10-07,80,Resolved,4,Low
C001045,Provincial Council Secretariat,Puttalam,Medical Certificate,Rude Staff Behavior,2025-05-30,2025-09-02,95,Resolved,5,Low
C001046,Department of Health Services,Mannar,Passport Application,Bribery Demand,2025-02-21,2025-07-15,144,Resolved,5,Medium
C001047,Department of Education,Monaragala,Police Report,Overcharging,2024-04-14,2024-07-11,88,Resolved,2,Medium
C001048,Divisional Secretariat,Jaffna,Pension Claims,System Downtime,2024-08-25,2025-01-17,145,Resolved,5,Low
C001049,Department of Motor Traffic,Polonnaruwa,Passport Application,Bribery Demand,2024-12-29,2025-01-09,11,Resolved,3,Low
C001050,Department of Health Services,Galle,Pension Claims,Rude Staff Behavior,2024-04-26,2024-07-20,85,Resolved,5,Medium
C001051,Provincial Council Secretariat,Kandy,Marriage Certificate,Incorrect Information,2023-09-27,2023-10-16,19,Resolved,3,Low
C001052,Department of Motor Traffic,Galle,Passport Application,Incorrect Information,2025-06-28,2025-09-29,93,Resolved,1,Low
C001053,Inland Revenue Department,Nuwara Eliya,Passport Application,Long Queue,2024-06-15,2024-09-10,87,Resolved,5,Low
C001054,Department of Immigration,Vavuniya,Medical Certificate,Delayed Processing,2024-06-15,2024-06-21,6,Resolved,5,Low
C001055,Department of Census and Statistics,Badulla,Marriage Certificate,Protocol Violation,2024-04-23,2024-06-24,62,Resolved,3,High
C001056,Department of Immigration,Galle,Passport Application,Protocol Violation,2025-06-20,2025-07-07,17,Resolved,2,Low
C001057,Inland Revenue Department,Gampaha,School Admission,Poor Facility Condition,2024-10-08,2025-01-26,110,Resolved,5,Low
C001058,Department of Motor Traffic,Polonnaruwa,Visa Processing,Rude Staff Behavior,2025-03-22,2025-04-30,39,Resolved,3,High
C001059,Department of Education,Badulla,School Admission,Delayed Processing,2025-05-11,2025-07-04,54,Resolved,4,Low
C001060,Department of Census and Statistics,Ampara,Business Registration,Overcharging,2024-10-22,2025-04-06,166,Resolved,4,Low
C001061,Department of Education,Ampara,Visa Processing,Poor Facility Condition,2025-09-19,2026-03-16,178,Resolved,3,Low
C001062,Inland Revenue Department,Batticaloa,Passport Application,Missing Documents,2025-05-10,2025-07-03,54,Resolved,2,Low
C001063,Department of Census and Statistics,Hambantota,Business Registration,Delayed Processing,2024-11-29,2025-04-25,147,Resolved,2,Low
C001064,Divisional Secretariat,Gampaha,Land Registration,Protocol Violation,2023-12-16,2024-04-27,133,Resolved,3,Medium
C001065,Department of Education,Kilinochhi,Visa Processing,Missing Documents,2024-11-30,2025-03-21,111,Resolved,3,Low
C001066,Registrar General Department,Jaffna,Business Registration,Protocol Violation,2024-12-16,2025-05-31,166,Resolved,1,Medium
C001067,Registrar General Department,Mannar,License Renewal,Protocol Violation,2023-12-10,2024-02-07,59,Resolved,1,Low
C001068,Municipal Council,Hambantota,Passport Application,Poor Facility Condition,2024-04-09,2024-06-13,65,Resolved,3,High
C001069,Department of Pensions,Mannar,Pension Claims,Missing Documents,2025-03-30,2025-04-02,3,Resolved,4,Medium
C001070,Department of Immigration,Vavuniya,Passport Application,Bribery Demand,2025-07-23,,59,Pending,2,Medium
C001071,Provincial Council Secretariat,Kegalle,Land Registration,Overcharging,2024-04-22,2024-09-02,133,Resolved,4,Low
C001072,Pradeshiya Sabha,Mullaitivu,Passport Application,Overcharging,2023-12-17,2024-02-04,49,Resolved,3,Low
C001073,Department of Immigration,Jaffna,Police Report,Long Queue,2025-04-14,,159,Pending,1,Low
C001074,Department of Health Services,Badulla,Pension Claims,Protocol Violation,2025-07-26,2025-10-21,87,Resolved,2,Low
C001075,Department of Immigration,Matale,Tax Filing,Poor Facility Condition,2025-05-14,,129,Pending,3,Medium
C001076,Department of Health Services,Galle,Pension Claims,Delayed Processing,2025-05-30,2025-10-24,147,Resolved,5,Medium
C001077,Department of Education,Polonnaruwa,Visa Processing,Delayed Processing,2024-03-31,2024-06-24,85,Resolved,4,Low
C001078,Divisional Secretariat,Ampara,License Renewal,Rude Staff Behavior,2025-08-12,2025-08-21,9,Resolved,5,Low
C001079,Provincial Council Secretariat,Kalutara,Land Registration,Long Queue,2024-10-20,2024-12-19,60,Resolved,3,Low
C001080,Registrar General Department,Matale,Business Registration,Missing Documents,2023-10-02,2024-01-16,106,Resolved,3,Low
C001081,Inland Revenue Department,Jaffna,Pension Claims,Overcharging,2023-11-30,2024-01-22,53,Resolved,2,Low
C001082,Pradeshiya Sabha,Badulla,Land Registration,Incorrect Information,2025-05-01,2025-09-29,151,Resolved,2,Low
C001083,Inland Revenue Department,Trincomalee,Tax Filing,Poor Facility Condition,2024-02-14,2024-05-27,103,Resolved,4,High
C001084,Department of Pensions,Polonnaruwa,Land Registration,System Downtime,2025-01-04,2025-01-15,11,Resolved,4,Medium
C001085,Department of Immigration,Mullaitivu,Passport Application,Rude Staff Behavior,2025-09-18,2025-12-28,101,Resolved,4,High
C001086,Divisional Secretariat,Kandy,Pension Claims,Long Queue,2024-12-06,2025-05-24,169,Resolved,2,Low
C001087,Municipal Council,Kalutara,Police Report,Bribery Demand,2024-02-29,2024-08-08,161,Resolved,4,High
C001088,Department of Census and Statistics,Kalutara,Birth Certificate,Protocol Violation,2024-11-15,2025-04-06,142,Resolved,2,Medium
C001089,Provincial Council Secretariat,Gampaha,Land Registration,Long Queue,2024-08-19,2024-10-01,43,Resolved,3,Low
C001090,Pradeshiya Sabha,Vavuniya,Passport Application,Missing Documents,2025-09-01,2025-12-29,119,Resolved,3,Low
C001091,Department of Census and Statistics,Badulla,Police Report,Overcharging,2024-06-03,,474,Pending,4,Low
C001092,Pradeshiya Sabha,Batticaloa,Marriage Certificate,Overcharging,2023-11-29,,661,Pending,2,Medium
C001093,Department of Immigration,Jaffna,Birth Certificate,Protocol Violation,2024-03-04,2024-03-09,5,Resolved,4,Medium
C001094,Municipal Council,Hambantota,Marriage Certificate,Overcharging,2024-03-11,,558,Pending,3,Low
C001095,Department of Education,Monaragala,License Renewal,Protocol Violation,2024-04-29,2024-10-19,173,Resolved,4,Medium
C001096,Department of Education,Gampaha,School Admission,Long Queue,2025-07-27,2025-11-04,100,Resolved,4,Low
C001097,Inland Revenue Department,Galle,Birth Certificate,Long Queue,2024-10-11,2024-12-14,64,Resolved,3,Low
C001098,Registrar General Department,Matara,Birth Certificate,Rude Staff Behavior,2023-10-05,2023-11-24,50,Resolved,4,Medium
C001099,Department of Census and Statistics,Kurunegala,Medical Certificate,Bribery Demand,2023-11-05,2023-12-03,28,Resolved,5,Medium
C001100,Inland Revenue Department,Kandy,Tax Filing,System Downtime,2025-03-28,2025-07-16,110,Resolved,2,Low
C001101,Department of Education,Matara,Birth Certificate,Incorrect Information,2024-11-05,2024-11-09,4,Resolved,3,Medium
C001102,Department of Health Services,Jaffna,School Admission,Overcharging,2024-10-02,,353,Pending,3,High
C001103,Registrar General Department,Anuradhapura,Tax Filing,Missing Documents,2024-01-03,2024-05-28,146,Resolved,2,Medium
C001104,Pradeshiya Sabha,Kilinochhi,Medical Certificate,Overcharging,2025-08-31,,20,Pending,1,Low
C001105,Provincial Council Secretariat,Polonnaruwa,Police Report,Bribery Demand,2023-10-09,2024-03-07,150,Resolved,3,Medium
C001106,Registrar General Department,Jaffna,Passport Application,Missing Documents,2025-09-11,2025-11-10,60,Resolved,1,Medium
C001107,Department of Education,Jaffna,Passport Application,Rude Staff Behavior,2025-06-16,,96,Pending,1,Low
C001108,Divisional Secretariat,Batticaloa,Police Report,System Downtime,2025-07-09,,73,Pending,4,Low
C001109,Department of Health Services,Polonnaruwa,Visa Processing,Long Queue,2024-08-11,2024-08-22,11,Resolved,4,Low
C001110,Municipal Council,Matara,Medical Certificate,Bribery Demand,2024-08-25,2024-10-17,53,Resolved,4,Medium
C001111,Department of Motor Traffic,Kalutara,Land Registration,Delayed Processing,2024-10-15,2024-12-01,47,Resolved,3,High
C001112,Department of Immigration,Kalutara,Marriage Certificate,Poor Facility Condition,2023-11-13,2023-12-20,37,Resolved,5,Medium
C001113,Department of Education,Jaffna,Marriage Certificate,Bribery Demand,2024-04-17,2024-05-08,21,Resolved,3,Low
C001114,Department of Education,Polonnaruwa,Passport Application,Incorrect Information,2024-03-19,2024-06-05,78,Resolved,3,High
C001115,Department of Health Services,Vavuniya,Marriage Certificate,Overcharging,2025-01-25,,238,Pending,4,Low
C001116,Department of Education,Colombo,Pension Claims,Missing Documents,2025-02-19,2025-06-10,111,Resolved,4,High
C001117,Department of Immigration,Hambantota,Pension Claims,Overcharging,2024-07-24,2024-09-02,40,Resolved,4,Low
C001118,Department of Census and Statistics,Matale,Police Report,Overcharging,2024-07-07,2024-12-10,156,Resolved,3,Low
C001119,Pradeshiya Sabha,Ratnapura,Tax Filing,Overcharging,2024-04-02,,536,Pending,3,Low
C001120,Department of Pensions,Polonnaruwa,School Admission,Delayed Processing,2024-11-19,2025-02-23,96,Resolved,3,Low
C001121,Divisional Secretariat,Nuwara Eliya,Passport Application,Missing Documents,2023-10-30,2023-12-01,32,Resolved,3,High
C001122,Department of Census and Statistics,Monaragala,License Renewal,Missing Documents,2024-09-11,2025-01-15,126,Resolved,4,High
C001123,Department of Census and Statistics,Polonnaruwa,Police Report,Long Queue,2024-05-30,2024-06-08,9,Resolved,5,Medium
C001124,Municipal Council,Matale,Visa Processing,Bribery Demand,2025-07-12,,70,Pending,2,Medium
C001125,Registrar General Department,Polonnaruwa,Police Report,Missing Documents,2025-07-30,2025-08-03,4,Resolved,2,Low
C001126,Inland Revenue Department,Mullaitivu,Marriage Certificate,Missing Documents,2025-05-13,2025-06-03,21,Resolved,4,Low
C001127,Department of Health Services,Puttalam,Visa Processing,Missing Documents,2024-07-26,2024-12-10,137,Resolved,4,Medium
C001128,Department of Census and Statistics,Matale,Visa Processing,Bribery Demand,2023-12-21,,639,Pending,2,High
C001129,Department of Education,Colombo,Birth Certificate,Delayed Processing,2024-11-01,2024-11-03,2,Resolved,5,Medium
C001130,Department of Health Services,Nuwara Eliya,Marriage Certificate,System Downtime,2024-11-21,2025-05-08,168,Resolved,3,Low
C001131,Registrar General Department,Batticaloa,School Admission,Bribery Demand,2024-02-05,2024-03-23,47,Resolved,4,Low
C001132,Department of Health Services,Batticaloa,Medical Certificate,Poor Facility Condition,2023-11-20,2024-01-09,50,Resolved,3,Low
C001133,Registrar General Department,Hambantota,Birth Certificate,System Downtime,2025-07-03,2025-09-17,76,Resolved,1,Low
C001134,Department of Motor Traffic,Gampaha,Visa Processing,Long Queue,2024-05-18,2024-11-07,173,Resolved,4,Medium
C001135,Department of Motor Traffic,Vavuniya,School Admission,Protocol Violation,2023-11-02,,688,Pending,2,High
C001136,Divisional Secretariat,Mullaitivu,Tax Filing,System Downtime,2024-06-19,2024-10-19,122,Resolved,4,Medium
C001137,Municipal Council,Vavuniya,Pension Claims,Poor Facility Condition,2024-09-06,2024-11-07,62,Resolved,5,Low
C001138,Pradeshiya Sabha,Vavuniya,Police Report,Rude Staff Behavior,2024-09-19,2024-10-15,26,Resolved,1,Low
C001139,Inland Revenue Department,Mannar,Land Registration,Poor Facility Condition,2024-01-24,2024-04-05,72,Resolved,5,Medium
