post_id,department,district,post_date,sentiment_label,sentiment_score,sample_text,platform
P000374,Divisional Secretariat,Vavuniya,2025-03-15,Neutral,0.968,Experience with Pradeshiya Sabha was okay,Instagram
P000375,Inland Revenue Department,Puttalam,2025-07-03,Negative,0.895,Divisional Secretariat service is corrupt,Facebook
P000376,Department of Census and Statistics,Badulla,2025-01-16,Neutral,0.492,Experience with Provincial Council Secretariat was average,Facebook
P000377,Department of Health Services,Matara,2025-04-19,Neutral,-0.052,Experience with Provincial Council Secretariat was typical,Facebook
P000378,Department of Census and Statistics,Gampaha,2024-11-01,Negative,0.47,Municipal Council service is frustrated,Twitter
P000379,Department of Education,Matale,2025-02-02,Neutral,0.368,Experience with Pradeshiya Sabha was average,Twitter
P000380,Department of Health Services,Nuwara Eliya,2025-08-12,Neutral,-0.285,Experience with Divisional Secretariat was average,Facebook
P000381,Divisional Secretariat,Anuradhapura,2025-02-04,Negative,-0.709,Department of Immigration service is waste of time,Instagram
P000382,Inland Revenue Department,Monaragala,2025-01-01,Negative,-0.068,Municipal Council service is unprofessional,Facebook
P000383,Department of Education,Puttalam,2024-09-22,Neutral,0.77,Experience with Pradeshiya Sabha was standard,Instagram
P000384,Department of Pensions,Anuradhapura,2024-12-02,Negative,-0.841,Municipal Council service is frustrated,Twitter
P000385,Provincial Council Secretariat,Ampara,2025-06-27,Neutral,-0.04,Experience with Department of Health Services was standard,Facebook
P000386,Department of Motor Traffic,Jaffna,2025-08-08,Neutral,-0.964,Experience with Department of Health Services was typical,Facebook
P000387,Divisional Secretariat,Vavuniya,2025-03-10,Neutral,-0.373,Experience with Department of Immigration was typical,Instagram
P000388,Inland Revenue Department,Kalutara,2025-01-14,Negative,0.331,Pradeshiya Sabha service is corrupt,Twitter
P000389,Registrar General Department,Monaragala,2025-05-07,Positive,0.792,Service at Department of Pensions was excellent,Facebook
P000390,Divisional Secretariat,Kegalle,2025-07-13,Neutral,0.609,Experience with Divisional Secretariat was okay,Twitter
P000391,Department of Immigration,Mullaitivu,2025-08-22,Neutral,-0.271,Experience with Inland Revenue Department was standard,Instagram
P000392,Inland Revenue Department,Mannar,2025-03-01,Neutral,-0.364,Experience with Department of Pensions was typical,Twitter
P000393,Municipal Council,Kalutara,2025-08-18,Negative,-0.939,Department of Census and Statistics service is slow,Twitter
P000394,Department of Health Services,Batticaloa,2025-03-14,Neutral,0.687,Experience with Provincial Council Secretariat was normal,Twitter
P000395,Department of Motor Traffic,Ratnapura,2024-09-29,Neutral,0.395,Experience with Department of Education was okay,Twitter
P000396,Divisional Secretariat,Galle,2025-05-02,Neutral,-0.815,Experience with Pradeshiya Sabha was standard,Facebook
P000397,Department of Motor Traffic,Nuwara Eliya,2025-05-23,Negative,0.887,Department of Motor Traffic service is waste of time,Instagram
P000398,Inland Revenue Department,Matara,2025-01-30,Neutral,0.668,Experience with Department of Education was average,Facebook
P000399,Department of Motor Traffic,Kandy,2025-08-08,Neutral,0.321,Experience with Municipal Council was okay,Facebook
P000400,Provincial Council Secretariat,Anuradhapura,2025-08-11,Negative,0.706,Department of Health Services service is slow,Twitter
P000401,Department of Motor Traffic,Mullaitivu,2025-09-12,Neutral,-0.845,Experience with Municipal Council was normal,Instagram
P000402,Department of Health Services,Vavuniya,2024-11-20,Negative,-0.894,Department of Pensions service is unprofessional,Instagram
P000403,Department of Census and Statistics,Kurunegala,2025-05-15,Negative,0.444,Registrar General Department service is corrupt,Facebook
P000404,Pradeshiya Sabha,Colombo,2024-12-08,Neutral,0.988,Experience with Registrar General Department was okay,Twitter
P000405,Department of Census and Statistics,Ratnapura,2025-08-08,Neutral,-0.515,Experience with Department of Census and Statistics was okay,Twitter
P000406,Municipal Council,Mullaitivu,2024-11-11,Neutral,-0.884,Experience with Divisional Secretariat was normal,Twitter
P000407,Department of Pensions,Kegalle,2024-09-25,Negative,-0.011,Divisional Secretariat service is slow,Facebook
P000408,Department of Pensions,Trincomalee,2025-04-05,Negative,0.685,Department of Health Services service is terrible,Facebook
P000409,Department of Motor Traffic,Hambantota,2025-03-24,Negative,-0.662,Department of Census and Statistics service is waste of time,Facebook
P000410,Divisional Secretariat,Hambantota,2025-03-05,Negative,0.326,Department of Pensions service is terrible,Instagram
P000411,Department of Census and Statistics,Hambantota,2025-01-11,Negative,0.76,Registrar General Department service is unprofessional,Instagram
P000412,Registrar General Department,Jaffna,2025-07-26,Negative,0.124,Department of Education service is waste of time,Twitter
P000413,Registrar General Department,Puttalam,2025-09-09,Negative,-0.002,Department of Census and Statistics service is frustrated,Facebook
P000414,Department of Immigration,Vavuniya,2024-12-08,Negative,-0.016,Department of Education service is terrible,Instagram
P000415,Department of Pensions,Ratnapura,2025-05-08,Negative,-0.421,Department of Census and Statistics service is terrible,Facebook
P000416,Department of Pensions,Kegalle,2024-11-04,Neutral,-0.71,Experience with Department of Pensions was average,Facebook
P000417,Provincial Council Secretariat,Gampaha,2024-12-22,Negative,0.4,Municipal Council service is terrible,Twitter
P000418,Municipal Council,Trincomalee,2025-02-07,Positive,0.316,Service at Registrar General Department was fast,Twitter
P000419,Department of Motor Traffic,Jaffna,2025-02-04,Negative,-0.714,Department of Pensions service is frustrated,Twitter
P000420,Registrar General Department,Jaffna,2025-01-04,Negative,-0.7,Divisional Secretariat service is unprofessional,Twitter
P000421,Registrar General Department,Batticaloa,2024-12-18,Negative,0.307,Department of Health Services service is unprofessional,Twitter
P000422,Department of Health Services,Mannar,2025-05-30,Negative,0.154,Registrar General Department service is corrupt,Twitter
P000423,Department of Education,Vavuniya,2024-10-21,Negative,-0.178,Inland Revenue Department service is frustrated,Twitter
P000424,Department of Education,Kalutara,2025-07-19,Negative,-0.355,Department of Census and Statistics service is corrupt,Twitter
P000425,Pradeshiya Sabha,Batticaloa,2025-08-09,Neutral,-0.304,Experience with Department of Health Services was okay,Twitter
P000426,Department of Education,Ampara,2025-09-17,Neutral,0.107,Experience with Provincial Council Secretariat was okay,Twitter
P000427,Department of Health Services,Kandy,2025-01-29,Negative,0.059,Department of Census and Statistics service is corrupt,Facebook
P000428,Department of Health Services,Ampara,2025-02-10,Neutral,-0.738,Experience with Department of Education was okay,Twitter
P000429,Inland Revenue Department,Jaffna,2024-12-10,Negative,0.172,Department of Immigration service is slow,Twitter
P000430,Department of Immigration,Kandy,2024-11-20,Negative,-0.275,Department of Motor Traffic service is unprofessional,Facebook
P000431,Department of Education,Kurunegala,2024-11-05,Neutral,-0.556,Experience with Pradeshiya Sabha was normal,Facebook
P000432,Department of Motor Traffic,Trincomalee,2024-10-02,Neutral,0.356,Experience with Department of Education was normal,Twitter
P000433,Divisional Secretariat,Hambantota,2024-11-20,Positive,0.616,Service at Department of Motor Traffic was helpful,Instagram
P000434,Provincial Council Secretariat,Colombo,2024-12-20,Negative,-0.819,Department of Health Services service is frustrated,Instagram
P000435,Department of Motor Traffic,Kurunegala,2025-07-15,Neutral,-0.568,Experience with Department of Census and Statistics was standard,Twitter
P000436,Department of Immigration,Mannar,2025-08-31,Neutral,-0.018,Experience with Provincial Council Secretariat was typical,Instagram
P000437,Department of Immigration,Monaragala,2024-10-22,Positive,-0.905,Service at Registrar General Department was efficient,Instagram
P000438,Inland Revenue Department,Mannar,2025-08-19,Negative,0.854,Inland Revenue Department service is waste of time,Instagram
P000439,Registrar General Department,Vavuniya,2025-04-10,Negative,-0.124,Divisional Secretariat service is terrible,Facebook
P000440,Divisional Secretariat,Vavuniya,2025-07-04,Neutral,0.752,Experience with Department of Health Services was standard,Facebook
P000441,Department of Health Services,Gampaha,2025-06-13,Negative,-0.734,Department of Health Services service is unprofessional,Facebook
P000442,Inland Revenue Department,Matale,2025-01-13,Negative,0.619,Department of Health Services service is frustrated,Instagram
P000443,Department of Motor Traffic,Kurunegala,2025-03-19,Positive,0.988,Service at Department of Census and Statistics was helpful,Twitter
P000444,Department of Education,Kurunegala,2024-11-10,Negative,0.602,Department of Pensions service is terrible,Facebook
P000445,Registrar General Department,Kurunegala,2025-01-08,Neutral,0.83,Experience with Municipal Council was typical,Instagram
P000446,Municipal Council,Colombo,2025-08-24,Neutral,-0.126,Experience with Registrar General Department was okay,Facebook
P000447,Pradeshiya Sabha,Kegalle,2025-05-19,Negative,0.618,Provincial Council Secretariat service is corrupt,Instagram
P000448,Department of Health Services,Gampaha,2025-05-01,Negative,-0.55,Department of Motor Traffic service is terrible,Facebook
P000449,Pradeshiya Sabha,Kurunegala,2025-09-19,Neutral,0.218,Experience with Pradeshiya Sabha was standard,Instagram
P000450,Divisional Secretariat,Badulla,2025-05-01,Negative,-0.51,Department of Motor Traffic service is waste of time,Facebook
P000451,Department of Education,Anuradhapura,2025-04-28,Negative,0.955,Department of Motor Traffic service is corrupt,Instagram
P000452,Department of Motor Traffic,Hambantota,2025-05-18,Neutral,-0.06,Experience with Department of Census and Statistics was typical,Twitter
P000453,Department of Immigration,Batticaloa,2025-09-07,Negative,-0.149,Provincial Council Secretariat service is frustrated,Facebook
P000454,Department of Motor Traffic,Kilinochhi,2024-10-03,Positive,0.842,Service at Inland Revenue Department was excellent,Twitter
P000455,Department of Census and Statistics,Ampara,2024-12-14,Neutral,-0.343,Experience with Registrar General Department was typical,Facebook
P000456,Provincial Council Secretariat,Jaffna,2025-09-19,Negative,-0.64,Provincial Council Secretariat service is frustrated,Facebook
P000457,Provincial Council Secretariat,Kilinochhi,2025-06-27,Positive,0.568,Service at Department of Immigration was satisfied,Facebook
P000458,Department of Motor Traffic,Mannar,2025-06-17,Positive,0.387,Service at Department of Census and Statistics was fast,Instagram
P000459,Registrar General Department,Galle,2025-08-22,Negative,-0.341,Department of Census and Statistics service is corrupt,Facebook
P000460,Provincial Council Secretariat,Ampara,2024-12-10,Negative,0.345,Registrar General Department service is waste of time,Facebook
P000461,Divisional Secretariat,Ratnapura,2025-06-05,Positive,0.383,Service at Department of Census and Statistics was excellent,Instagram
P000462,Department of Census and Statistics,Ratnapura,2025-09-07,Negative,-0.815,Registrar General Department service is frustrated,Facebook
P000463,Department of Education,Hambantota,2025-09-18,Positive,0.264,Service at Department of Motor Traffic was good service,Twitter
P000464,Department of Census and Statistics,Mullaitivu,2025-08-16,Neutral,0.161,Experience with Pradeshiya Sabha was normal,Twitter
P000465,Pradeshiya Sabha,Anuradhapura,2025-02-23,Negative,-0.709,Department of Immigration service is waste of time,Facebook
P000466,Inland Revenue Department,Trincomalee,2025-02-02,Negative,-0.069,Divisional Secretariat service is corrupt,Instagram
P000467,Department of Census and Statistics,Nuwara Eliya,2024-10-09,Negative,0.702,Divisional Secretariat service is slow,Instagram
P000468,Inland Revenue Department,Mullaitivu,2025-02-20,Positive,0.622,Service at Department of Motor Traffic was helpful,Facebook
P000469,Department of Education,Galle,2025-06-07,Positive,0.219,Service at Department of Pensions was excellent,Facebook
P000470,Provincial Council Secretariat,Kalutara,2025-04-12,Negative,0.135,Department of Immigration service is unprofessional,Facebook
P000471,Department of Pensions,Galle,2025-02-11,Negative,0.936,Department of Pensions service is slow,Facebook
P000472,Department of Pensions,Ratnapura,2024-10-18,Negative,0.937,Inland Revenue Department service is terrible,Instagram
P000473,Provincial Council Secretariat,Kegalle,2025-02-16,Neutral,-0.765,Experience with Department of Pensions was normal,Twitter
P000474,Department of Pensions,Vavuniya,2025-07-26,Neutral,0.402,Experience with Divisional Secretariat was normal,Instagram
P000475,Divisional Secretariat,Kurunegala,2025-02-02,Neutral,0.158,Experience with Registrar General Department was typical,Facebook
P000476,Inland Revenue Department,Colombo,2025-07-16,Neutral,-0.438,Experience with Inland Revenue Department was okay,Twitter
P000477,Provincial Council Secretariat,Polonnaruwa,2024-12-28,Negative,0.518,Inland Revenue Department service is unprofessional,Twitter
P000478,Department of Census and Statistics,Colombo,2025-07-07,Negative,0.221,Department of Health Services service is terrible,Instagram
P000479,Department of Motor Traffic,Colombo,2025-05-10,Negative,0.556,Department of Education service is terrible,Twitter
P000480,Department of Health Services,Trincomalee,2025-03-09,Neutral,-0.394,Experience with Provincial Council Secretariat was standard,Twitter
P000481,Department of Motor Traffic,Ratnapura,2025-03-04,Neutral,-0.68,Experience with Municipal Council was average,Facebook
P000482,Department of Health Services,Galle,2025-02-17,Negative,-0.173,Provincial Council Secretariat service is frustrated,Twitter
P000483,Department of Motor Traffic,Kurunegala,2024-12-22,Negative,0.549,Department of Education service is slow,Twitter
P000484,Department of Motor Traffic,Kalutara,2025-01-27,Negative,0.217,Department of Motor Traffic service is frustrated,Instagram
P000485,Department of Motor Traffic,Polonnaruwa,2025-01-07,Negative,0.375,Department of Pensions service is waste of time,Facebook
P000486,Registrar General Department,Colombo,2025-07-11,Positive,0.127,Service at Pradeshiya Sabha was efficient,Instagram
P000487,Department of Health Services,Batticaloa,2025-06-15,Negative,0.055,Municipal Council service is waste of time,Instagram
P000488,Department of Health Services,Kurunegala,2025-08-16,Positive,0.895,Service at Municipal Council was good service,Facebook
P000489,Municipal Council,Trincomalee,2025-01-04,Positive,-0.873,Service at Department of Health Services was efficient,Twitter
P000490,Department of Census and Statistics,Nuwara Eliya,2025-06-28,Negative,0.089,Department of Motor Traffic service is corrupt,Facebook
P000491,Provincial Council Secretariat,Kegalle,2025-02-15,Negative,-0.85,Provincial Council Secretariat service is terrible,Facebook
P000492,Registrar General Department,Badulla,2025-04-26,Negative,0.222,Department of Immigration service is unprofessional,Facebook
P000493,Registrar General Department,Gampaha,2025-05-31,Neutral,0.115,Experience with Department of Education was okay,Instagram
P000494,Divisional Secretariat,Kurunegala,2025-09-17,Negative,0.828,Provincial Council Secretariat service is unprofessional,Facebook
P000495,Department of Education,Kurunegala,2024-12-22,Neutral,0.147,Experience with Department of Pensions was normal,Facebook
P000496,Department of Pensions,Mullaitivu,2025-06-13,Neutral,0.8,Experience with Provincial Council Secretariat was average,Facebook
P000497,Department of Immigration,Vavuniya,2024-10-30,Negative,-0.88,Pradeshiya Sabha service is waste of time,Twitter
P000498,Department of Motor Traffic,Mullaitivu,2024-10-02,Negative,0.406,Municipal Council service is frustrated,Instagram
P000499,Municipal Council,Anuradhapura,2025-04-09,Neutral,0.768,Experience with Department of Pensions was okay,Facebook
P000500,Department of Motor Traffic,Trincomalee,2024-10-27,Negative,-0.003,Department of Pensions service is slow,Instagram
P000501,Provincial Council Secretariat,Nuwara Eliya,2025-02-04,Positive,0.845,Service at Pradeshiya Sabha was fast,Instagram
P000502,Registrar General Department,Matale,2025-02-07,Neutral,-0.163,Experience with Pradeshiya Sabha was average,Instagram
P000503,Department of Census and Statistics,Kilinochhi,2025-08-09,Negative,-0.027,Department of Motor Traffic service is corrupt,Instagram
P000504,Inland Revenue Department,Monaragala,2025-02-06,Positive,-0.844,Service at Municipal Council was good service,Twitter
P000505,Department of Census and Statistics,Vavuniya,2024-10-12,Neutral,0.964,Experience with Registrar General Department was standard,Facebook
P000506,Inland Revenue Department,Galle,2025-05-13,Negative,0.67,Divisional Secretariat service is corrupt,Facebook
P000507,Pradeshiya Sabha,Gampaha,2025-05-27,Neutral,-0.296,Experience with Department of Immigration was standard,Instagram
P000508,Provincial Council Secretariat,Jaffna,2025-09-03,Negative,0.65,Department of Health Services service is slow,Facebook
P000509,Department of Motor Traffic,Kegalle,2025-05-13,Negative,-0.77,Pradeshiya Sabha service is waste of time,Facebook
P000510,Registrar General Department,Anuradhapura,2025-07-10,Negative,0.229,Department of Health Services service is waste of time,Facebook
P000511,Municipal Council,Matale,2025-03-28,Negative,-0.368,Department of Census and Statistics service is waste of time,Facebook
P000512,Department of Census and Statistics,Kurunegala,2025-05-08,Negative,0.576,Department of Pensions service is slow,Facebook
P000513,Divisional Secretariat,Gampaha,2024-11-30,Negative,0.988,Divisional Secretariat service is slow,Twitter
P000514,Divisional Secretariat,Hambantota,2025-01-21,Positive,-0.913,Service at Pradeshiya Sabha was efficient,Instagram
P000515,Inland Revenue Department,Trincomalee,2025-07-28,Positive,-0.673,Service at Department of Census and Statistics was helpful,Instagram
P000516,Municipal Council,Kurunegala,2025-02-23,Neutral,0.051,Experience with Inland Revenue Department was typical,Twitter
P000517,Divisional Secretariat,Trincomalee,2024-10-13,Negative,-0.219,Inland Revenue Department service is frustrated,Twitter
P000518,Provincial Council Secretariat,Ratnapura,2024-10-22,Negative,-0.157,Department of Pensions service is waste of time,Instagram
P000519,Inland Revenue Department,Mannar,2025-08-20,Negative,-0.197,Department of Health Services service is terrible,Facebook
P000520,Department of Pensions,Galle,2024-12-07,Negative,-0.019,Provincial Council Secretariat service is terrible,Twitter
P000521,Department of Immigration,Ampara,2025-02-21,Neutral,-0.536,Experience with Divisional Secretariat was average,Facebook
P000522,Pradeshiya Sabha,Kalutara,2025-08-24,Positive,-0.703,Service at Department of Health Services was excellent,Facebook
P000523,Department of Motor Traffic,Puttalam,2024-10-29,Negative,0.599,Department of Pensions service is waste of time,Twitter
P000524,Department of Motor Traffic,Gampaha,2025-08-08,Negative,0.195,Department of Motor Traffic service is frustrated,Facebook
P000525,Department of Pensions,Kilinochhi,2025-04-07,Negative,0.886,Municipal Council service is frustrated,Instagram
P000526,Provincial Council Secretariat,Hambantota,2025-01-20,Negative,0.708,Department of Motor Traffic service is terrible,Twitter
P000527,Municipal Council,Monaragala,2025-04-20,Negative,-0.687,Department of Education service is unprofessional,Twitter
P000528,Department of Census and Statistics,Badulla,2025-07-15,Neutral,0.35,Experience with Department of Census and Statistics was average,Instagram
P000529,Department of Motor Traffic,Ampara,2025-06-10,Negative,0.547,Department of Education service is unprofessional,Twitter
P000530,Department of Health Services,Puttalam,2025-03-12,Positive,0.773,Service at Department of Health Services was efficient,Twitter
P000531,Municipal Council,Vavuniya,2024-10-07,Neutral,0.502,Experience with Department of Motor Traffic was typical,Twitter
P000532,Municipal Council,Hambantota,2025-06-02,Neutral,-0.998,Experience with Department of Education was okay,Twitter
P000533,Department of Immigration,Matale,2025-05-04,Negative,0.957,Department of Motor Traffic service is waste of time,Facebook
P000534,Divisional Secretariat,Polonnaruwa,2025-04-14,Neutral,-0.387,Experience with Department of Pensions was average,Instagram
P000535,Municipal Council,Mannar,2024-10-10,Negative,-0.878,Department of Immigration service is waste of time,Facebook
P000536,Municipal Council,Hambantota,2025-01-11,Neutral,-0.841,Experience with Department of Pensions was standard,Facebook
P000537,Divisional Secretariat,Mannar,2024-09-26,Positive,-0.616,Service at Provincial Council Secretariat was helpful,Instagram
P000538,Divisional Secretariat,Polonnaruwa,2025-03-20,Negative,0.801,Department of Education service is corrupt,Facebook
P000539,Department of Pensions,Ratnapura,2025-08-20,Neutral,-0.86,Experience with Divisional Secretariat was average,Facebook
P000540,Inland Revenue Department,Gampaha,2025-06-27,Neutral,0.612,Experience with Department of Immigration was typical,Twitter
P000541,Department of Motor Traffic,Badulla,2025-05-24,Negative,-0.508,Department of Pensions service is unprofessional,Twitter
P000542,Department of Pensions,Jaffna,2024-09-24,Negative,0.287,Department of Education service is waste of time,Facebook
P000543,Pradeshiya Sabha,Jaffna,2024-11-20,Negative,-0.31,Pradeshiya Sabha service is slow,Facebook
P000544,Pradeshiya Sabha,Jaffna,2024-10-25,Negative,0.756,Department of Education service is unprofessional,Twitter
P000545,Department of Pensions,Polonnaruwa,2025-07-15,Negative,0.273,Department of Education service is waste of time,Facebook
P000546,Pradeshiya Sabha,Trincomalee,2025-07-05,Neutral,-0.578,Experience with Divisional Secretariat was standard,Facebook
P000547,Municipal Council,Badulla,2025-02-01,Positive,0.741,Service at Department of Motor Traffic was efficient,Twitter
P000548,Department of Pensions,Jaffna,2024-12-07,Positive,0.969,Service at Divisional Secretariat was efficient,Instagram
P000549,Registrar General Department,Vavuniya,2025-05-16,Negative,0.272,Divisional Secretariat service is frustrated,Twitter
P000550,Department of Census and Statistics,Trincomalee,2025-02-15,Positive,-0.303,Service at Provincial Council Secretariat was fast,Instagram
P000551,Provincial Council Secretariat,Puttalam,2025-04-27,Negative,-0.857,Department of Motor Traffic service is slow,Facebook
P000552,Divisional Secretariat,Kalutara,2024-11-30,Negative,-0.277,Department of Education service is frustrated,Instagram
P000553,Department of Census and Statistics,Vavuniya,2024-10-07,Neutral,-0.299,Experience with Inland Revenue Department was normal,Twitter
P000554,Department of Pensions,Hambantota,2025-06-07,Negative,-0.888,Inland Revenue Department service is corrupt,Facebook
P000555,Municipal Council,Galle,2025-02-19,Negative,-0.858,Provincial Council Secretariat service is terrible,Instagram
P000556,Department of Pensions,Matara,2024-10-22,Negative,-0.355,Department of Census and Statistics service is frustrated,Facebook
P000557,Divisional Secretariat,Colombo,2025-04-06,Negative,0.485,Municipal Council service is corrupt,Twitter
P000558,Provincial Council Secretariat,Nuwara Eliya,2025-07-02,Neutral,-0.853,Experience with Pradeshiya Sabha was okay,Twitter
P000559,Municipal Council,Matale,2025-04-15,Neutral,-0.811,Experience with Department of Immigration was standard,Instagram
P000560,Department of Education,Kurunegala,2025-05-08,Negative,0.01,Department of Census and Statistics service is corrupt,Twitter
P000561,Department of Education,Gampaha,2025-08-24,Neutral,-0.26,Experience with Municipal Council was standard,Twitter
P000562,Pradeshiya Sabha,Colombo,2024-10-24,Negative,0.277,Divisional Secretariat service is corrupt,Twitter
P000563,Department of Health Services,Nuwara Eliya,2025-02-04,Negative,0.863,Inland Revenue Department service is slow,Instagram
P000564,Department of Census and Statistics,Batticaloa,2025-02-13,Negative,-0.694,Inland Revenue Department service is slow,Facebook
P000565,Department of Motor Traffic,Ampara,2025-01-11,Negative,0.027,Department of Motor Traffic service is corrupt,Instagram
P000566,Provincial Council Secretariat,Ampara,2024-11-14,Neutral,-0.011,Experience with Inland Revenue Department was standard,Facebook
P000567,Divisional Secretariat,Anuradhapura,2024-11-06,Positive,-0.131,Service at Municipal Council was fast,Twitter
P000568,Department of Census and Statistics,Hambantota,2025-04-19,Negative,-0.465,Registrar General Department service is frustrated,Instagram
P000569,Department of Census and Statistics,Batticaloa,2025-01-03,Neutral,0.946,Experience with Provincial Council Secretariat was average,Instagram
P000570,Pradeshiya Sabha,Anuradhapura,2025-07-06,Positive,-0.964,Service at Department of Immigration was efficient,Facebook
P000571,Divisional Secretariat,Ratnapura,2025-04-11,Neutral,0.155,Experience with Department of Census and Statistics was okay,Twitter
P000572,Pradeshiya Sabha,Ampara,2024-12-15,Negative,0.915,Department of Pensions service is waste of time,Facebook
P000573,Inland Revenue Department,Kalutara,2025-06-13,Negative,0.952,Pradeshiya Sabha service is slow,Facebook
P000574,Inland Revenue Department,Polonnaruwa,2024-10-14,Negative,-0.402,Inland Revenue Department service is terrible,Facebook
P000575,Department of Health Services,Ratnapura,2024-11-08,Negative,-0.81,Department of Health Services service is terrible,Facebook
P000576,Registrar General Department,Colombo,2025-07-09,Negative,0.604,Municipal Council service is terrible,Twitter
P000577,Municipal Council,Anuradhapura,2025-04-15,Positive,0.542,Service at Provincial Council Secretariat was efficient,Facebook
P000578,Department of Motor Traffic,Mannar,2025-08-22,Neutral,-0.759,Experience with Provincial Council Secretariat was standard,Twitter
P000579,Department of Motor Traffic,Polonnaruwa,2024-10-21,Neutral,0.571,Experience with Inland Revenue Department was typical,Twitter
P000580,Inland Revenue Department,Ampara,2025-04-03,Positive,0.669,Service at Pradeshiya Sabha was excellent,Facebook
P000581,Department of Education,Polonnaruwa,2024-12-09,Neutral,0.151,Experience with Inland Revenue Department was average,Instagram
P000582,Department of Health Services,Kegalle,2024-10-09,Positive,-0.625,Service at Department of Education was helpful,Facebook
P000583,Department of Census and Statistics,Galle,2025-01-19,Neutral,-0.822,Experience with Municipal Council was typical,Instagram
P000584,Provincial Council Secretariat,Ampara,2025-06-06,Neutral,-0.732,Experience with Department of Immigration was normal,Instagram
P000585,Inland Revenue Department,Ratnapura,2024-11-15,Positive,-0.806,Service at Department of Census and Statistics was efficient,Instagram
P000586,Registrar General Department,Puttalam,2025-05-05,Negative,0.413,Municipal Council service is frustrated,Facebook
P000587,Municipal Council,Vavuniya,2024-11-29,Negative,-0.648,Department of Census and Statistics service is unprofessional,Facebook
P000588,Divisional Secretariat,Monaragala,2025-09-16,Negative,0.657,Provincial Council Secretariat service is corrupt,Facebook
P000589,Department of Education,Matara,2025-03-22,Negative,0.332,Municipal Council service is terrible,Facebook
P000590,Department of Motor Traffic,Kilinochhi,2025-02-04,Negative,0.348,Department of Motor Traffic service is unprofessional,Instagram
P000591,Department of Motor Traffic,Galle,2025-07-21,Positive,-0.821,Service at Registrar General Department was good service,Instagram
P000592,Department of Census and Statistics,Puttalam,2025-01-18,Negative,-0.789,Department of Immigration service is terrible,Facebook
P000593,Registrar General Department,Anuradhapura,2025-02-12,Neutral,-0.184,Experience with Department of Census and Statistics was standard,Facebook
P000594,Registrar General Department,Ratnapura,2025-09-15,Neutral,-0.334,Experience with Municipal Council was standard,Instagram
P000595,Department of Motor Traffic,Nuwara Eliya,2025-08-09,Negative,-0.216,Department of Pensions service is terrible,Facebook
P000596,Department of Education,Mannar,2025-04-17,Negative,-0.161,Department of Health Services service is unprofessional,Instagram
P000597,Inland Revenue Department,Ratnapura,2025-01-28,Neutral,-0.721,Experience with Department of Health Services was normal,Instagram
P000598,Department of Census and Statistics,Colombo,2025-08-20,Negative,-0.134,Department of Pensions service is terrible,Facebook
P000599,Inland Revenue Department,Gampaha,2025-05-19,Negative,0.224,Pradeshiya Sabha service is slow,Facebook
P000600,Department of Pensions,Monaragala,2025-07-21,Neutral,-0.03,Experience with Department of Health Services was average,Twitter
P000601,Inland Revenue Department,Batticaloa,2025-04-01,Neutral,-0.561,Experience with Registrar General Department was standard,Twitter
P000602,Divisional Secretariat,Colombo,2024-12-15,Negative,0.902,Department of Pensions service is slow,Instagram
P000603,Divisional Secretariat,Galle,2025-07-05,Negative,-0.875,Municipal Council service is waste of time,Instagram
P000604,Department of Motor Traffic,Ampara,2025-03-23,Neutral,-0.777,Experience with Department of Health Services was okay,Twitter
P000605,Department of Motor Traffic,Matara,2024-11-14,Negative,-0.133,Registrar General Department service is waste of time,Facebook
P000606,Registrar General Department,Kandy,2025-05-05,Positive,-0.08,Service at Divisional Secretariat was excellent,Instagram
P000607,Divisional Secretariat,Mullaitivu,2025-02-05,Negative,0.349,Municipal Council service is waste of time,Twitter
P000608,Department of Motor Traffic,Puttalam,2025-02-05,Negative,0.86,Department of Pensions service is waste of time,Facebook
P000609,Divisional Secretariat,Mullaitivu,2025-05-04,Negative,0.655,Provincial Council Secretariat service is waste of time,Twitter
P000610,Provincial Council Secretariat,Badulla,2025-09-10,Positive,0.502,Service at Provincial Council Secretariat was fast,Instagram
P000611,Divisional Secretariat,Kurunegala,2025-01-31,Negative,0.017,Pradeshiya Sabha service is waste of time,Instagram
P000612,Divisional Secretariat,Vavuniya,2025-03-25,Positive,0.972,Service at Inland Revenue Department was efficient,Instagram
P000613,Department of Education,Hambantota,2025-06-21,Negative,0.841,Municipal Council service is waste of time,Twitter
P000614,Divisional Secretariat,Monaragala,2025-09-01,Neutral,-0.119,Experience with Inland Revenue Department was okay,Facebook
P000615,Department of Motor Traffic,Kandy,2025-03-22,Negative,0.625,Department of Census and Statistics service is frustrated,Twitter
P000616,Department of Immigration,Ratnapura,2025-01-31,Neutral,0.316,Experience with Inland Revenue Department was standard,Twitter
P000617,Registrar General Department,Hambantota,2024-12-26,Neutral,-0.964,Experience with Department of Health Services was standard,Twitter
P000618,Department of Pensions,Anuradhapura,2025-02-24,Neutral,0.285,Experience with Department of Immigration was normal,Twitter
P000619,Department of Census and Statistics,Gampaha,2025-02-16,Negative,0.136,Department of Education service is terrible,Instagram
P000620,Registrar General Department,Mannar,2024-10-16,Negative,0.813,Municipal Council service is slow,Facebook
P000621,Inland Revenue Department,Kandy,2025-08-07,Negative,0.764,Department of Education service is frustrated,Instagram
P000622,Pradeshiya Sabha,Matara,2025-08-12,Positive,-0.238,Service at Registrar General Department was satisfied,Instagram
